subject,group,selected_model,selection_reason,source_val_nll_00,source_val_acc_00,source_val_nll_01,source_val_acc_01,source_val_nll_07,source_val_acc_07,test_acc_00,test_acc_01,test_acc_07,selected_test_acc,selected_test_f1,delta_vs_07
0,weak,00_seed_paperfix,paperfix_guarded_by_val_nll_val_acc_and_nll_cap,0.3060939610004425,0.8890892696122633,0.32233285903930664,0.8793958521190262,0.33477160334587097,0.8872858431018936,0.8396464646464646,0.8156565656565656,0.7575757575757576,0.8396464646464646,0.8185714285714286,0.08207070707070707
1,middle,07_seed_sdrmpg_rsc,fallback_lower_source_val_nll_01_vs_07,0.32239019870758057,0.8904418394950406,0.3634549379348755,0.8773669972948602,0.348829060792923,0.8742110009017132,0.6856060606060606,0.7196969696969697,0.7727272727272727,0.7727272727272727,0.73568281938326,0.0
2,middle,00_seed_paperfix,paperfix_guarded_by_val_nll_val_acc_and_nll_cap,0.28896263241767883,0.8911181244364292,0.3987221121788025,0.8683498647430117,0.3513043522834778,0.8609107303877367,0.8080808080808081,0.8263888888888888,0.7986111111111112,0.8080808080808081,0.8401682439537329,0.009469696969696906
3,weak,00_seed_paperfix,paperfix_guarded_by_val_nll_val_acc_and_nll_cap,0.2773537337779999,0.8981064021641119,0.2984899580478668,0.8879621280432822,0.28525498509407043,0.8848061316501352,0.7569444444444444,0.7064393939393939,0.7171717171717171,0.7569444444444444,0.7063310450038138,0.03977272727272729
4,middle,01_seed_sdrmpg,fallback_lower_source_val_nll_01_vs_07,0.33777493238449097,0.8875112714156899,0.3371475040912628,0.8854824165915239,0.3380824327468872,0.8881875563570785,0.6546717171717171,0.735479797979798,0.7771464646464646,0.735479797979798,0.789764174611139,-0.04166666666666663
5,middle,01_seed_sdrmpg,fallback_lower_source_val_nll_01_vs_07,0.3662071228027344,0.877141568981064,0.34556061029434204,0.8751127141568981,0.36433374881744385,0.8751127141568981,0.8080808080808081,0.8112373737373737,0.8188131313131313,0.8112373737373737,0.8395061728395061,-0.007575757575757569
6,middle,07_seed_sdrmpg_rsc,fallback_lower_source_val_nll_01_vs_07,0.2755565941333771,0.8942741208295762,0.31366994976997375,0.9005861136158702,0.29090312123298645,0.8985572587917042,0.82260101010101,0.8459595959595959,0.8402777777777778,0.8402777777777778,0.833003300330033,0.0
7,weak,01_seed_sdrmpg,fallback_lower_source_val_nll_01_vs_07,0.30585840344429016,0.8899909828674482,0.30107352137565613,0.8963029756537421,0.3048436939716339,0.89404869251578,0.6805555555555556,0.735479797979798,0.7285353535353535,0.735479797979798,0.7945071113290829,0.006944444444444531
8,middle,07_seed_sdrmpg_rsc,fallback_lower_source_val_nll_01_vs_07,0.2826518416404724,0.8954012623985572,0.3103967308998108,0.9066726780883679,0.30855411291122437,0.8963029756537421,0.7866161616161617,0.8244949494949495,0.8106060606060606,0.8106060606060606,0.8390557939914163,0.0
9,weak,07_seed_sdrmpg_rsc,fallback_lower_source_val_nll_01_vs_07,0.3277365267276764,0.8861587015329125,0.3545694649219513,0.8821009918845807,0.3448167145252228,0.8773669972948602,0.6761363636363636,0.6470959595959596,0.6799242424242424,0.6799242424242424,0.546916890080429,0.0
10,strong,01_seed_sdrmpg,fallback_lower_source_val_nll_01_vs_07,0.3083435297012329,0.8884129846708747,0.28415653109550476,0.8884129846708747,0.29022282361984253,0.8884129846708747,0.9261363636363636,0.884469696969697,0.898989898989899,0.884469696969697,0.8913946587537092,-0.014520202020201989
11,middle,01_seed_sdrmpg,fallback_lower_source_val_nll_01_vs_07,0.305105984210968,0.8841298467087466,0.2831950783729553,0.8944995491433724,0.3199995160102844,0.8949504057709649,0.7638888888888888,0.7582070707070707,0.7714646464646465,0.7582070707070707,0.7764156450671337,-0.013257575757575801
12,strong,07_seed_sdrmpg_rsc,fallback_lower_source_val_nll_01_vs_07,0.41079455614089966,0.8442290351668169,0.4234156012535095,0.84107303877367,0.3838565945625305,0.8363390441839496,0.7512626262626263,0.7537878787878788,0.8787878787878788,0.8787878787878788,0.8661087866108786,0.0
13,weak,01_seed_sdrmpg,fallback_lower_source_val_nll_01_vs_07,0.39100775122642517,0.8539224526600541,0.3979695737361908,0.8575293056807936,0.4042658507823944,0.8573038773669973,0.7702020202020202,0.7986111111111112,0.7304292929292929,0.7986111111111112,0.7910936476751801,0.06818181818181823
14,strong,07_seed_sdrmpg_rsc,fallback_lower_source_val_nll_01_vs_07,0.5849076509475708,0.7912533814247069,0.5794955492019653,0.7806582506762849,0.5745801329612732,0.7912533814247069,0.889520202020202,0.9678030303030303,0.9633838383838383,0.9633838383838383,0.965435041716329,0.0
